ALogP,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_RotatableBonds,FormalCharge,ID,smiles,category
2.467,588.69389,6,3,11,0,CHEMBL2000089,O=C1N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](CCCCCC(=O)[C@@H]2CO2)C(=O)N[C@H]1Cc1ccccc1,ligante
2.772,302.36818,4,2,6,0,CHEMBL99,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,ligante
1.999,411.08964,5,3,5,-1,CHEMBL2047701,O=C(NCCS)/C(Cc1cc(Br)c(O)c(Br)c1)=N/[O-],ligante
1.689,540.69583,8,4,2,0,CHEMBL343448,C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,ligante
0.817,515.60188,6,5,8,0,CHEMBL360194,CC1(C)NC(=O)[C@H](CCCCCC(=O)NO)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,ligante
3.526,287.35354,3,2,8,0,CHEMBL217083,O=C(CCCCCCOc1ccc2ccccc2c1)NO,ligante
0.542,563.75077,9,4,5,0,CHEMBL1835659,CC[C@H](C)[C@H]1NC(=O)C2CSSCC/C=C\C(CC(=O)N[C@H](CC[S+](C)[O-])C(=O)N2)OC(=O)C[C@@H]1O,ligante
3.139,485.53438,6,4,10,0,CHEMBL327146,O=C(CCCCCC(C(=O)Nc1ccc2ncccc2c1)C(=O)Nc1ccc2ncccc2c1)NO,ligante
0.639,282.29568,6,2,6,-1,CHEMBL2047699,O=C(NCCS)/C(Cc1cccc([N+](=O)[O-])c1)=N/[O-],ligante
2.893,415.44124,4,4,7,0,CHEMBL116620,O=C(/C=C/c1cccc(C(C(=O)Nc2ccccc2)C(=O)Nc2ccccc2)c1)NO,ligante
2.634,407.52854,3,3,9,1,CHEMBL1819274,CCc1nn2ccccc2c1CC[NH+](Cc1ccc(/C=C/C(=O)NO)cc1)C(C)C,ligante
2.965,422.48024,6,4,10,0,CHEMBL1094708,Nc1ccc(-n2cc(-c3cccc(NC(=O)CCCCCCC(=O)NO)c3)nn2)cc1,ligante
2.46,443.51758,4,4,9,1,CHEMBL1819257,COc1ccncc1-c1[nH]c2ccccc2c1CC[NH2+]Cc1ccc(/C=C/C(=O)NO)cc1,ligante
3.021,350.41098,3,3,7,0,CHEMBL485514,O=C(C=C1c2ccccc2-c2ccccc21)NCCCCCC(=O)NO,ligante
1.489,380.46014,3,5,9,1,CHEMBL403323,O=C(/C=C/c1ccc(C[NH+](CCO)CCc2cc3ccccc3[nH]2)cc1)NO,ligante
3.463,595.77587,7,3,8,0,CHEMBL394261,C[C@@H]1NC(=O)C2(Cc3ccccc3C2)NC(=O)[C@H](CCCCCSSc2ccccn2)NC(=O)[C@H]2CCCN2C1=O,ligante
5.028,390.90368,4,2,11,0,CHEMBL217154,CN(Cc1ccc(Cl)cc1)c1ccc(OCCCCCCC(=O)NO)cc1,ligante
1.286,283.3897,5,2,6,-1,CHEMBL2047690,CSc1ccc(C/C(=N\[O-])C(=O)NCCS)cc1,ligante
0.622,413.45026,7,2,4,0,CHEMBL609583,O=C(NO)c1cnc(N2CCN(S(=O)(=O)c3ccc4ccccc4c3)CC2)nc1,ligante
-0.723,395.4102,6,3,5,1,CHEMBL1801250,O=C(NO)c1cnc(N2C[C@@H]3[C@H](C2)[C@H]3[NH2+]Cc2ccc3cc(F)ccc3n2)nc1,ligante
4.954,553.65139,5,5,12,0,CHEMBL445506,COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(=O)NO)c3nc(-c4ccc5ccccc5c4)c[nH]3)c2c1,ligante
3.175,477.51512,5,2,8,0,CHEMBL470421,CP(=O)(Cc1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1)OCc1cccnc1,ligante
4.21,340.41616,4,3,9,0,CHEMBL95552,O=C(CCCCCC/C(=N\O)c1ccc(-c2ccccc2)cc1)NO,ligante
1.655,359.26198,5,2,6,-1,CHEMBL2047704,CN(C)c1ccc(C/C(=N\[O-])C(=O)NCCS)cc1Br,ligante
2.074,447.61554,3,3,5,1,CHEMBL474890,Nc1ccc(-c2cccs2)cc1NC(=O)c1ccc(CN2CCC3(CCC[NH2+]3)CC2)cc1,ligante
4.58,435.55852,4,4,9,0,CHEMBL1819261,CC(C)N(CCc1c(C(C)(C)O)[nH]c2ccccc12)Cc1ccc(/C=C/C(=O)NO)cc1,ligante
5.327,423.5063,3,2,7,0,CHEMBL1095451,Cc1c(-c2ccccc2)nc(-c2cccc(/C=C/C(=O)NO)c2)n1CCc1ccccc1,ligante
2.438,420.50738,4,3,8,1,CHEMBL217004,O=C(NO)c1ccc(-c2ccn(CC[NH2+]Cc3ccc(-c4ccccn4)cc3)n2)s1,ligante
7.496,592.79507,7,2,16,0,CHEMBL2022825,O=C(N[C@@H](CCCCCCSSc1ccccn1)C(=O)Nc1nc(-c2ccccc2)cs1)OCc1ccccc1,ligante
2.987,376.81742,4,3,5,0,CHEMBL216249,O=C(Cn1ccc(-c2ccc(C(=O)NO)s2)n1)Nc1cccc(Cl)c1,ligante
1.675,346.24334,5,3,6,0,CHEMBL2047681,COc1ccc(C/C(=N\N)C(=O)NCCS)cc1Br,ligante
2.258,290.33756,3,3,4,0,CHEMBL496923,C[C@@H](NC(=O)c1ccc(C(=O)NO)s1)c1ccccc1,ligante
0.34,298.2569,7,3,4,0,CHEMBL1834462,O=C(NO)c1cnc(Nc2nnc(-c3ccccc3)o2)nc1,ligante
3.879,577.71761,6,4,11,0,CHEMBL2012817,CCC(=O)CCCCC[C@@H]1NC(=O)[C@@H](C)n2nncc2[C@H](CC(C)C)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O,ligante
2.168,351.42218,3,3,4,0,CHEMBL407560,CC(=O)Nc1ccc(C(=O)Nc2cc(-c3ccsc3)ccc2N)cc1,ligante
3.459,395.47474,4,3,7,0,CHEMBL399494,CCOC(=O)NCc1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1,ligante
1.64,474.53282,5,3,11,1,CHEMBL470225,CCOP(=O)(C[NH2+]Cc1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1)OCC,ligante
2.836,475.60576,5,2,4,0,CHEMBL471399,CC(=O)N1CCC2(CCCN(c3ccc(C(=O)Nc4cc(-c5cccs5)ccc4N)cn3)C2)C1,ligante
1.544,384.42892,5,3,6,1,CHEMBL216463,O=C(NO)c1ccc(-c2ccc(C[NH2+]Cc3ccc4c(c3)OCO4)cn2)s1,ligante
1.744,419.21489,4,4,7,0,CHEMBL1083088,O=C(CCCCCNC(=O)NC(=O)c1ccc(I)cc1)NO,ligante
2.211,282.31226,3,3,8,0,CHEMBL1923808,O=C(CCCCCCC(=O)Nc1ccc([19F])cc1)NO,ligante
4.038,412.48486,3,2,7,0,CHEMBL513536,CCP(=O)(CC)Cc1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1,ligante
3.704,332.43722,4,2,9,0,CHEMBL99877,O=C(CCCCCCC(=O)c1ccc(N2CCCCC2)cc1)NO,ligante
2.702,554.64113,7,4,12,0,CHEMBL270739,O=C(CCCCCC(=O)N(CC(=O)Nc1nc2ccccc2s1)CC(=O)Nc1nc2ccccc2s1)NO,ligante
3.981,408.49496,4,2,6,0,CHEMBL471466,CN(Cc1ccc(C(=O)Nc2cc(-c3ccccc3)ccc2N)cc1)c1ccncc1,ligante
3.429,394.4452,4,2,6,-1,CHEMBL474903,O=C(Nc1cc(-c2ccccc2)ccc1[O-])c1ccc(CNc2ccncc2)cc1,ligante
3.18,373.44762,3,3,6,0,CHEMBL398617,CCC(=O)NCc1ccc(C(=O)Nc2cc(-c3ccccc3)ccc2N)cc1,ligante
3.318,394.44362,4,3,6,0,CHEMBL145891,O=C(/C=C/c1ccc(NS(=O)(=O)c2ccc(-c3ccccc3)cc2)cc1)NO,ligante
1.061,357.3903,8,3,5,0,CHEMBL1834482,CN(C)c1ccc(-c2nnc(Nc3ncc(C(=O)NO)cn3)s2)cc1,ligante
3.593,366.45344,3,2,10,0,CHEMBL112446,CNC(=O)C(=O)CCCCCCC(=O)Nc1cccc(-c2ccccc2)c1,ligante
3.574,411.4989,4,3,6,0,CHEMBL505961,Cc1c(CNc2ccc(C(=O)Nc3cc(-c4ccccc4)ccc3N)cc2)cnn1C,ligante
4.593,433.56578,3,3,6,0,CHEMBL400929,Nc1ccc(-c2cccs2)cc1NC(=O)c1ccc(CNC(=O)C2CCCCC2)cc1,ligante
3.278,325.3849,4,3,5,0,CHEMBL263570,O=C(NO)c1ccc(-c2ccc(CNc3ccccc3)cn2)s1,ligante
4.733,437.48982,4,3,7,0,CHEMBL400044,Nc1ccc(-c2ccccc2)cc1NC(=O)c1ccc(CNC(=O)Oc2ccccc2)cc1,ligante
5.963,469.54992,3,3,6,0,CHEMBL1093052,O=C(/C=C/c1ccc(CN2CCCC(c3c(-c4ccccc4)[nH]c4ccccc34)C2)c(F)c1)NO,ligante
-0.261,456.55628,7,5,4,0,CHEMBL393361,CC(C)[C@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)C[C@@H](/C=C/CCS)OC(=O)CNC1=O,ligante
3.176,413.46688,5,4,12,0,CHEMBL246586,O=C(CCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1)NO,ligante
5.6,511.65448,4,3,13,0,CHEMBL271799,COc1ccc2[nH]c(C)c(CN[C@@H](CCCCCC(C)=O)C(=O)Nc3cccc(-c4ccccc4)c3)c2c1,ligante
2.308,345.37128,3,2,4,-1,CHEMBL403100,CC(=O)Nc1ccc(C(=O)Nc2cc(-c3ccccc3)ccc2[O-])cc1,ligante
2.93,402.42102,6,2,6,0,CHEMBL2048750,COc1ccc(S(=O)(=O)n2ccc3cc(/C=C/C(=O)NO)ccc32)cc1OC,ligante
2.719,294.37086,3,1,3,0,CHEMBL2337864,Oc1cccn(Cc2ccc(-c3ccncc3)cc2)c1=S,ligante
0.734,111.0987,3,2,0,0,CHEMBL287899,Oc1cccnc1O,ligante
1.684,407.421,7,4,9,0,CHEMBL1083411,O=C(CCCCCNC(=O)NC(=O)c1ccc(N2CCCC2)c([N+](=O)[O-])c1)NO,ligante
3.023,344.36012,3,3,4,0,CHEMBL247383,O=C(Cc1ccc(F)cc1)Nc1ccc2cc(C(=O)NO)sc2c1,ligante
0.38,447.5511,5,5,11,1,CHEMBL1084356,C[NH+](C)CC(C)(C)Cn1cnc2cc(C(=O)NC(=O)NCCCCCC(=O)NO)ccc21,ligante
2.325,284.33628,4,1,3,0,CHEMBL2337863,Oc1cccn(Cc2cn(-c3ccccc3)nn2)c1=S,ligante
0.232,127.1643,2,2,0,0,CHEMBL2337874,Oc1ccc[nH]c1=S,ligante
3.02,580.58731,8,4,7,0,CHEMBL400919,Nc1ccccc1NC(=O)c1ccc(C(C(=O)Nc2ccc3c(c2)OCCO3)C(=O)Nc2ccc3c(c2)OCCO3)cc1,ligante
2.295,403.47206,7,5,12,0,CHEMBL387042,Cc1ncc(CO)c(CNc2ccc(OCCCCCCC(=O)NO)cc2)c1O,ligante
3.089,422.49524,6,3,12,0,CHEMBL217778,COc1ccc(S(=O)(=O)Nc2ccc(OCCCCCCC(=O)NO)cc2)cc1,ligante
2.385,447.52942,5,2,10,-1,CHEMBL511573,O=C([O-])CCCCC[C@H](NC(=O)c1cncs1)c1nc(-c2ccc3ccccc3c2)c[nH]1,ligante
4.312,448.4739,4,2,6,0,CHEMBL471868,COP(=O)(c1ccccc1)c1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1,ligante
3.637,506.6015,8,5,9,0,CHEMBL257631,Nc1ccccc1NC(=O)c1ccc(CNc2nc(NC3CC3)nc(NC3Cc4ccccc4C3)n2)cc1,ligante
3.36,370.40062,4,2,4,0,CHEMBL238568,Nc1ccccc1NC(=O)c1ccc(Cc2coc3ccccc3c2=O)cc1,ligante
3.397,404.4848,5,3,6,0,CHEMBL403467,COc1ccc2nc(NCc3ccc(C(=O)Nc4ccccc4N)cc3)sc2c1,ligante
3.301,306.31536,3,3,4,0,CHEMBL242533,O=C(/C=C/c1cccc(C(=O)c2cc3ccccc3[nH]2)c1)NO,ligante
4.794,375.45866,5,2,11,0,CHEMBL1822046,CC(C)CCc1c(OCCCCCCC(=O)NO)ccc2ccc(=O)oc12,ligante
3.206,514.53408,6,4,7,0,CHEMBL251145,N#Cc1cccc(NC(=O)C(C(=O)Nc2cccc(C#N)c2)c2ccc(C(=O)Nc3ccccc3N)cc2)c1,ligante
6.278,540.97208,6,3,8,0,CHEMBL1630109,O=C(/C=C/c1cccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)c1)NO,ligante
2.114,437.47654,6,4,6,1,CHEMBL2312466,Nc1ccccc1NC(=O)c1ccc(CNc2nccc(-c3c[nH+]c4ncccn34)n2)cc1,ligante
2.773,356.39564,4,3,5,0,CHEMBL279797,COc1ccc(CNC(=O)c2ccc3sc(C(=O)NO)cc3c2)cc1,ligante
5.203,460.54476,5,3,8,0,CHEMBL235413,COc1ccc(NCc2ccc(C(=O)Nc3cc(-c4cccs4)ccc3O)cc2)cc1OC,ligante
4.519,385.41526,4,2,5,0,CHEMBL1099095,COc1ccc(-n2c(-c3cccc(/C=C/C(=O)NO)c3)nc3ccccc32)cc1,ligante
3.239,445.51358,6,2,6,0,CHEMBL237108,C[C@@H]1CN(c2ccc(C(=O)Nc3ccccc3N)cn2)CCN1C(=O)OCc1ccccc1,ligante
4.131,320.4728,3,2,8,0,CHEMBL419758,O=C(CCCCCCS)Nc1nc(-c2ccccc2)cs1,ligante
2.235,289.3312,3,2,3,0,CHEMBL255805,Nc1ccc(-c2ccccc2)cc1NC(=O)c1cccnc1,ligante
2.715,481.54898,8,3,7,0,CHEMBL479278,Nc1ccccc1NC(=O)c1ccc(CNc2nccc(-c3ccc(N4CCOCC4)nc3)n2)cc1,ligante
3.444,455.5084,7,3,8,0,CHEMBL271862,COc1ccc(-c2ccnc(NCc3ccc(C(=O)Nc4ccccc4N)cc3)n2)cc1OC,ligante
